Date,EmpID,Engagement,Satisfaction,WorkLifeBalance,InEmployment
2023-05-23,1329,3,2,5,No
2022-09-25,1330,3,5,2,Yes
2023-05-16,1331,3,2,5,Yes
2023-04-13,1332,1,2,5,No
2023-01-29,1333,3,4,5,Yes
2022-12-21,1334,1,3,1,No
2022-10-09,1335,4,5,5,Yes
2023-03-09,1336,5,1,4,Yes
2022-11-01,1337,3,3,4,No
2022-10-20,1338,1,1,1,Yes
2022-12-02,1339,1,3,2,No
2023-05-28,1340,5,4,4,No
2023-05-15,1341,1,3,4,Yes
2022-12-20,1342,3,2,2,No
2022-09-07,1343,1,2,3,Yes
2022-08-23,1344,1,4,5,No
2022-08-28,1345,2,4,4,No
2023-04-28,1346,4,2,3,No
2023-02-28,1347,4,3,1,No
2022-11-01,1348,2,2,4,No
2023-04-21,1349,1,2,3,No
2023-03-05,1350,3,4,5,Yes
2023-01-18,1351,4,1,5,Yes
2023-06-03,1352,4,2,1,No
2022-10-11,1353,5,1,5,No
2023-06-21,1354,4,4,2,No
2023-01-28,1355,2,2,3,No
2022-08-14,1356,1,1,1,No
2023-01-30,1357,1,4,3,No
2023-02-25,1358,1,2,5,No
2023-01-09,1359,4,5,1,Yes
2023-03-31,1360,5,2,1,Yes
2023-03-30,1361,1,3,2,Yes
2023-01-11,1362,5,2,5,No
2023-06-19,1363,5,2,2,No
2023-05-03,1364,2,2,4,No
2022-10-08,1365,5,1,2,Yes
2022-08-17,1366,1,4,2,Yes
2023-07-20,1367,1,4,3,Yes
2022-10-04,1368,2,2,2,Yes
2023-03-08,1369,2,4,3,Yes
2023-07-19,1370,1,2,1,Yes
2023-05-19,1371,1,1,2,No
2023-07-30,1372,3,1,4,Yes
2023-06-12,1373,1,2,5,No
2023-02-08,1374,5,5,4,Yes
2022-09-28,1375,1,3,2,Yes
2023-06-12,1376,4,3,5,No
2023-03-05,1377,5,5,4,No
2023-02-03,1378,1,4,5,Yes
2023-02-28,1379,5,2,5,Yes
2022-12-27,1380,1,1,2,Yes
2023-07-10,1381,2,2,1,Yes
2022-11-30,1382,2,1,1,Yes
2022-09-02,1383,4,1,5,Yes
2023-05-05,1384,2,3,4,No
2022-09-11,1385,3,1,3,Yes
2023-03-18,1386,2,4,5,No
2023-03-29,1387,5,1,2,Yes
2023-07-15,1388,5,2,4,No
2023-02-25,1389,4,4,3,Yes
2023-01-23,1390,2,3,4,Yes
2022-08-11,1391,4,1,1,Yes
2022-09-19,1392,4,4,3,No
2023-06-17,1393,4,4,4,No
2023-07-07,1394,1,2,2,Yes
2023-05-31,1395,4,1,2,No
2023-07-07,1396,2,1,3,No
2023-03-31,1397,3,2,3,No
2023-04-07,1398,1,1,1,No
2023-03-07,1399,1,4,4,No
2023-05-17,1400,2,3,3,No
2022-11-04,1401,2,5,3,Yes
2023-07-13,1402,2,4,4,Yes
2022-12-25,1403,1,3,2,Yes
2023-02-18,1404,1,2,2,No
2023-04-29,1405,3,3,3,No
2023-05-15,1406,4,1,5,Yes
2023-02-16,1407,3,3,1,No
2023-06-07,1408,3,3,3,Yes
2023-05-17,1409,2,2,1,No
2023-04-02,1410,2,2,4,Yes
2023-06-25,1411,5,4,5,Yes
2023-06-16,1412,4,3,5,Yes
2022-10-31,1413,4,3,2,Yes
2022-08-13,1414,1,4,4,No
2022-09-16,1415,2,2,1,Yes
2023-05-11,1416,5,4,3,Yes
2022-12-31,1417,3,5,2,Yes
2022-11-25,1418,2,1,3,Yes
2023-02-11,1419,4,2,1,No
2023-06-12,1420,1,2,4,Yes
2022-09-03,1421,3,5,5,Yes
2023-04-10,1422,1,5,2,No
2023-03-23,1423,2,5,5,Yes
2022-09-03,1424,4,4,5,No
2022-09-06,1425,2,3,1,Yes
2023-07-11,1426,4,5,5,No
2023-02-09,1427,1,2,3,Yes
2023-06-04,1428,3,5,2,Yes
2023-03-23,1429,1,4,3,No
2022-09-15,1430,2,2,2,No
2022-10-28,1431,2,1,1,Yes
2022-10-13,1432,4,3,4,Yes
2022-08-06,1433,5,1,3,No
2022-10-21,1434,1,2,3,Yes
2023-03-23,1435,4,2,3,Yes
2023-07-09,1436,1,2,2,Yes
2023-01-06,1437,4,5,5,Yes
2023-01-21,1438,1,4,1,No
2022-11-29,1439,3,1,3,Yes
2022-11-02,1440,3,1,4,No
2023-04-07,1441,1,1,5,No
2023-01-11,1442,2,4,2,Yes
2023-06-12,1443,5,2,3,Yes
2022-12-21,1444,5,5,3,Yes
2022-11-17,1445,2,2,4,No
2023-06-15,1446,1,1,5,No
2022-08-17,1447,4,4,1,No
2022-10-23,1448,1,1,3,Yes
2022-08-11,1449,4,2,2,No
2023-04-22,1450,5,1,2,No
2022-12-27,1451,4,3,4,No
2022-08-14,1452,4,4,5,Yes
2022-09-12,1453,1,5,1,No
2023-07-28,1454,2,2,1,No
2023-07-04,1455,2,2,4,Yes
2022-08-31,1456,2,1,5,No
2023-07-02,1457,2,1,1,Yes
2023-02-06,1458,2,2,4,Yes
2022-09-10,1459,5,2,5,Yes
2023-02-23,1460,2,3,1,No
2023-04-09,1461,1,1,2,No
2022-08-31,1462,4,5,5,No
2023-03-13,1463,5,4,5,Yes
2023-07-04,1464,2,5,1,Yes
2023-06-02,1465,1,1,3,No
2022-12-05,1466,1,4,5,Yes
2022-08-13,1467,3,4,2,No
2023-04-21,1468,3,1,3,Yes
2023-02-23,1469,4,2,4,Yes
2023-03-21,1470,1,4,1,Yes
2022-12-23,1471,3,4,2,No
2022-09-02,1472,2,4,1,Yes
2022-12-11,1473,5,2,1,Yes
2022-09-22,1474,2,1,3,No
2023-07-25,1475,2,3,3,No
2022-12-21,1476,1,4,1,No
2023-02-24,1477,5,5,3,No
2022-11-22,1478,1,1,3,Yes
2022-08-23,1479,3,4,2,Yes
2023-02-16,1480,5,1,4,Yes
2023-07-24,1481,3,5,3,Yes
2023-04-23,1482,1,1,1,Yes
2022-08-19,1483,3,5,4,No
2022-12-25,1484,5,2,1,Yes
2022-12-14,1485,1,2,1,Yes
2023-03-05,1486,5,5,2,Yes
2023-05-20,1487,4,4,2,No
2023-03-14,1488,2,2,4,No
2022-10-13,1489,3,5,2,Yes
2023-03-06,1490,2,3,4,Yes
2023-03-29,1491,1,3,3,Yes
2023-04-17,1492,4,5,2,Yes
2022-12-06,1493,2,2,4,Yes
2023-05-06,1494,5,5,5,No
2022-12-30,1495,3,3,4,Yes
2023-07-09,1496,2,3,3,No
2023-07-29,1497,5,4,5,Yes
2022-12-28,1498,1,5,3,No
2022-11-28,1499,4,2,3,No
2023-07-24,1500,1,4,4,Yes
2023-05-08,1501,5,4,4,No
2023-06-08,1502,5,3,5,No
2022-10-24,1503,2,2,4,No
2022-10-23,1504,5,3,2,No
2022-11-02,1505,2,5,4,Yes
2023-05-08,1506,2,3,2,No
2023-01-19,1507,1,2,1,Yes
2022-10-07,1508,4,3,2,No
2022-09-25,1509,5,1,3,Yes
2023-04-06,1510,2,3,3,Yes
2022-09-17,1511,2,3,2,No
2023-04-18,1512,4,5,2,No
2022-11-18,1513,5,3,5,Yes
2023-05-08,1514,1,3,2,Yes
2022-12-14,1515,2,3,1,Yes
2023-07-16,1516,1,5,3,Yes
2023-01-22,1517,4,5,3,No
2022-09-28,1518,4,4,2,Yes
2023-02-25,1519,1,3,1,No
2023-04-05,1520,2,2,5,No
2023-06-11,1521,4,1,3,No
2022-12-03,1522,3,4,5,Yes
2022-09-20,1523,4,4,3,Yes
2023-01-17,1524,4,1,2,No
2022-10-29,1525,2,4,1,No
2023-01-20,1526,2,3,3,Yes
2023-06-02,1527,1,1,3,No
2023-02-25,1528,5,5,2,Yes
2023-04-28,1529,3,1,3,Yes
2022-10-31,1530,1,2,3,No
2022-08-23,1531,5,5,3,No
2023-08-04,1532,5,2,2,No
2023-06-27,1533,1,3,2,No
2022-08-12,1534,1,1,5,Yes
2022-12-08,1535,4,2,1,Yes
2023-03-19,1536,5,3,5,Yes
2022-08-06,1537,5,2,4,Yes
2022-11-11,1538,2,4,5,No
2023-01-22,1539,4,4,5,No
2023-01-24,1540,2,4,2,Yes
2022-12-26,1541,1,4,1,Yes
2023-07-31,1542,5,4,4,Yes
2023-01-07,1543,4,1,1,No
2023-06-20,1544,5,1,5,No
2022-08-21,1545,2,4,2,Yes
2023-05-26,1546,3,1,5,No
2022-09-24,1547,4,4,4,Yes
2023-06-14,1548,1,4,4,Yes
2023-07-07,1549,2,3,1,Yes
2023-03-04,1550,2,3,3,No
2023-07-08,1551,4,4,2,No
2023-05-31,1552,3,2,4,No
2023-01-12,1553,3,1,5,Yes
2023-06-08,1554,1,3,3,No
2022-12-19,1555,5,1,2,Yes
2022-10-07,1556,4,5,2,No
2022-08-19,1557,4,1,2,No
2022-10-09,1558,3,5,2,Yes
2023-02-04,1559,3,1,3,No
2023-01-23,1560,1,2,4,No
2023-04-01,1561,5,1,3,Yes
2023-04-21,1562,3,2,1,No
2023-04-23,1563,1,4,3,No
2022-12-20,1564,4,1,4,No
2023-06-16,1565,5,4,5,No
2023-07-25,1566,1,4,1,No
2023-04-12,1567,4,2,4,No
2022-10-04,1568,1,2,3,No
2023-03-08,1569,1,3,1,Yes
2022-08-07,1570,1,4,5,No
2023-06-04,1571,3,2,4,Yes
2022-10-17,1572,2,4,3,No
2023-06-10,1573,1,1,3,Yes
2023-06-10,1574,4,3,2,No
2022-11-16,1575,2,3,2,No
2023-05-07,1576,5,2,3,No
2023-03-29,1577,5,2,1,Yes
2023-02-03,1578,5,5,1,Yes
2023-04-15,1579,1,3,1,Yes
2023-04-23,1580,1,1,5,Yes
2022-12-11,1581,1,3,5,Yes
2022-11-04,1582,2,1,5,No
2023-06-27,1583,3,3,3,No
2023-03-18,1584,4,1,4,Yes
2022-12-23,1585,5,4,4,Yes
2023-07-16,1586,3,3,4,Yes
2023-06-27,1587,4,5,3,Yes
2023-07-21,1588,1,5,5,Yes
2023-04-26,1589,2,1,1,No
2023-04-20,1590,5,1,3,Yes
2023-05-10,1591,4,3,1,Yes
2023-06-06,1592,1,1,4,Yes
2022-10-02,1593,1,4,1,Yes
2022-12-08,1594,1,1,4,Yes
2023-01-12,1595,3,4,3,No
2023-02-10,1596,4,4,1,No
2023-07-23,1597,2,1,4,No
2023-05-28,1598,2,5,5,Yes
2022-09-13,1599,4,5,2,Yes
2023-04-28,1600,5,3,2,Yes
2023-01-05,1601,4,2,5,Yes
2023-04-01,1602,2,1,3,No
2022-08-31,1603,2,5,1,No
2023-01-28,1604,1,5,1,Yes
2023-05-08,1605,2,3,3,No
2023-06-28,1606,5,4,3,Yes
2023-03-18,1607,3,5,5,Yes
2022-12-11,1608,2,4,3,Yes
2023-04-13,1609,5,5,4,No
2022-10-23,1610,4,5,5,No
2023-05-21,1611,1,2,2,No
2022-12-13,1612,5,5,3,Yes
2022-09-07,1613,4,2,1,No
2023-04-10,1614,1,4,2,Yes
2023-07-27,1615,1,1,3,Yes
2023-01-29,1616,3,4,1,Yes
2023-02-08,1617,5,1,2,Yes
2022-11-16,1618,2,5,4,Yes
2023-01-05,1619,4,2,2,No
2022-10-30,1620,5,3,2,Yes
2023-05-21,1621,4,1,3,No
2023-04-29,1622,1,5,5,No
2022-12-18,1623,1,2,2,No
2023-07-24,1624,5,1,3,No
2022-08-16,1625,5,2,2,Yes
2023-01-11,1626,3,4,5,No
2022-08-06,1627,4,4,1,No
2023-04-12,1628,4,4,2,No
2022-09-23,1629,1,2,4,Yes
2023-02-25,1630,4,3,2,No
2023-06-24,1631,2,4,1,Yes
2023-03-12,1632,5,4,4,Yes
2022-12-09,1633,4,3,2,No
2023-01-13,1634,2,3,1,No
2022-12-19,1635,4,4,2,Yes
2022-10-14,1636,4,5,2,No
2022-10-20,1637,4,1,2,No
2023-05-08,1638,2,4,5,No
2022-10-12,1639,1,2,1,No
2022-12-19,1640,2,4,1,No
2023-03-18,1641,5,4,4,Yes
2023-04-14,1642,3,2,2,No
2022-08-23,1643,5,3,4,No
2023-04-01,1644,3,1,1,No
2022-09-26,1645,5,5,5,Yes
2023-01-20,1646,2,2,1,No
2023-02-16,1647,4,2,5,No
2022-12-16,1648,4,4,5,Yes
2023-07-28,1649,3,1,2,Yes
2023-03-29,1650,5,1,3,No
2022-11-01,1651,4,4,4,Yes
2023-06-09,1652,1,4,4,No
2022-12-02,1653,2,4,5,No
2023-06-11,1654,2,3,3,No
2022-09-25,1655,3,1,2,No
2022-09-30,1656,1,4,5,Yes
2023-07-29,1657,1,5,1,Yes
2022-08-07,1658,2,1,2,Yes
2023-07-11,1659,4,5,5,No
2023-06-17,1660,5,5,1,No
2023-02-25,1661,5,4,4,Yes
2023-05-17,1662,2,4,5,Yes
2023-03-10,1663,4,2,4,Yes
2023-02-12,1664,2,1,1,Yes
2022-08-23,1665,4,2,3,Yes
2022-08-12,1666,3,3,4,Yes
2022-10-24,1667,1,3,5,Yes
2022-10-01,1668,2,1,3,No
2022-09-13,1669,3,1,2,Yes
2022-08-11,1670,2,2,2,Yes
2023-07-08,1671,5,3,5,No
2022-10-08,1672,1,3,4,Yes
2022-08-19,1673,3,5,5,Yes
2022-10-04,1674,1,5,5,Yes
2023-01-25,1675,4,1,4,No
2023-03-27,1676,2,5,1,No
2023-03-10,1677,5,4,5,Yes
2023-06-21,1678,2,1,1,No
2023-08-01,1679,5,4,3,No
2023-03-01,1680,5,4,5,No
2023-05-30,1681,2,3,4,No
2023-04-15,1682,5,3,4,Yes
2022-12-29,1683,2,4,4,No
2022-12-30,1684,2,4,3,No
2023-01-18,1685,1,4,2,No
2023-02-06,1686,2,4,2,No
2023-08-03,1687,3,4,5,Yes
2022-11-12,1688,1,4,5,Yes
2023-04-26,1689,5,3,5,No
2022-11-12,1690,3,1,5,No
2022-11-30,1691,3,1,2,Yes
2023-06-25,1692,2,2,1,No
2022-12-18,1693,3,5,1,No
2022-08-31,1694,3,5,3,No
2023-05-25,1695,3,3,3,No
2023-05-27,1696,4,4,1,Yes
2022-10-15,1697,1,5,2,No
2023-03-21,1698,3,5,4,No
2023-04-25,1699,2,4,3,No
2023-05-04,1700,5,2,4,Yes
2023-04-29,1701,5,3,2,No
2023-01-20,1702,4,1,2,Yes
2023-02-16,1703,1,1,4,Yes
2023-04-06,1704,4,4,3,Yes
2023-04-02,1705,4,4,1,Yes
2023-06-19,1706,3,2,5,No
2022-10-21,1707,5,4,3,Yes
2023-01-29,1708,4,5,4,No
2023-05-10,1709,5,4,2,No
2023-07-03,1710,1,2,3,No
2023-05-05,1711,5,1,4,No
2023-05-12,1712,3,2,3,Yes
2022-10-11,1713,4,4,5,Yes
2023-02-27,1714,1,2,3,Yes
2023-04-16,1715,2,2,5,No
2023-01-15,1716,2,1,1,No
2023-03-06,1717,4,2,5,No
2023-07-19,1718,5,4,5,Yes
2023-03-29,1719,2,3,1,Yes
2023-07-10,1720,4,3,2,Yes
2023-06-30,1721,5,4,4,No
2023-03-16,1722,2,2,4,Yes
2022-09-16,1723,5,1,5,No
2022-09-22,1724,4,2,2,No
2023-04-09,1725,2,4,5,Yes
2023-06-14,1726,3,5,3,Yes
2022-12-22,1727,4,2,4,No
2023-08-01,1728,1,4,2,Yes
2023-02-15,1729,1,1,2,No
2023-07-03,1730,2,4,4,Yes
2023-06-23,1731,1,4,1,No
