Date,EmpID,ProgramKey,TrainingType,Outcome,Days,Cost,InEmployment
2022-08-10,1043,1,External,Completed,2,289.93,No
2022-09-13,1044,5,External,Incomplete,4,920.78,Yes
2023-06-11,1045,2,External,Completed,2,690.41,No
2023-07-28,1046,3,Internal,Failed,2,211.39,No
2022-11-27,1047,4,Internal,Passed,2,606.63,Yes
2022-12-02,1048,3,Internal,Completed,5,503.99,Yes
2022-11-20,1049,3,Internal,Completed,2,518.54,No
2023-08-03,1050,2,Internal,Completed,1,846.43,Yes
2022-10-13,1051,3,Internal,Passed,3,572.94,Yes
2022-10-25,1052,1,Internal,Incomplete,4,234.76,No
2022-12-19,1053,1,External,Passed,4,704.7,No
2022-11-04,1054,5,External,Failed,3,533.97,No
2022-11-15,1055,2,Internal,Passed,2,125.7,Yes
2023-02-16,1056,3,Internal,Completed,2,442.06,Yes
2022-10-23,1057,4,Internal,Failed,4,649.23,No
2023-04-01,1058,4,External,Incomplete,1,855.67,Yes
2022-09-16,1059,5,Internal,Incomplete,3,256.82,No
2022-09-06,1060,4,Internal,Completed,1,770.84,No
2023-08-01,1061,4,Internal,Incomplete,2,862.33,Yes
2022-11-27,1062,5,Internal,Failed,5,702.84,No
2022-10-15,1063,5,Internal,Completed,1,523.82,Yes
2022-10-06,1064,3,External,Passed,1,819.86,No
2022-12-09,1065,5,External,Passed,4,486.01,Yes
2023-06-14,1066,1,Internal,Completed,5,769.42,No
2023-06-24,1067,4,External,Completed,5,857.65,Yes
2022-11-06,1068,1,External,Completed,1,238.27,Yes
2022-08-22,1069,1,Internal,Failed,5,886.06,Yes
2023-01-14,1070,5,Internal,Failed,1,943.8,No
2023-03-16,1071,1,Internal,Completed,5,234.26,No
2023-05-19,1072,5,Internal,Passed,5,179.91,Yes
2022-10-03,1073,4,Internal,Failed,4,306.3,Yes
2023-07-07,1074,4,Internal,Passed,5,103.42,No
2023-05-16,1075,4,Internal,Passed,4,573.29,No
2022-11-07,1076,5,External,Incomplete,4,619.61,No
2022-12-21,1077,4,Internal,Incomplete,1,947.17,Yes
2023-03-24,1078,4,External,Passed,1,597.64,No
2023-04-15,1079,1,External,Incomplete,5,861.1,No
2023-04-22,1080,2,External,Passed,4,199.14,Yes
2023-06-05,1081,1,External,Failed,3,526.08,No
2023-04-22,1082,2,External,Incomplete,5,662.15,Yes
2022-11-18,1083,4,External,Completed,4,869.89,No
2022-12-17,1084,3,External,Completed,3,295.4,No
2022-11-01,1085,2,External,Passed,5,993.13,Yes
2023-07-15,1086,3,External,Completed,2,641.69,No
2023-05-10,1087,5,Internal,Incomplete,5,197.34,Yes
2023-05-17,1088,3,External,Failed,2,235.15,No
2023-05-27,1089,5,Internal,Passed,2,697.28,Yes
2023-03-21,1090,1,External,Completed,1,910.33,Yes
2022-10-20,1091,2,Internal,Incomplete,2,213.91,No
2022-09-20,1092,1,Internal,Completed,5,971.46,Yes
2023-07-07,1093,2,External,Failed,5,995.52,Yes
2022-08-18,1094,1,Internal,Failed,4,161.4,No
2022-08-17,1095,2,Internal,Passed,4,715.87,No
2022-09-25,1096,5,External,Incomplete,5,778.25,Yes
2022-08-11,1097,2,Internal,Completed,1,609.5,No
2023-05-13,1098,3,External,Failed,5,666.67,Yes
2022-10-30,1099,4,External,Incomplete,5,797.05,No
2023-02-25,1100,1,External,Completed,3,518.56,Yes
2023-03-31,1101,1,Internal,Passed,5,426.82,Yes
2022-12-31,1102,4,External,Failed,2,150.04,Yes
2023-07-05,1103,3,External,Passed,3,308.21,No
2022-08-11,1104,1,Internal,Completed,4,766.77,Yes
2023-01-17,1105,5,Internal,Incomplete,4,172.19,No
2022-10-31,1106,4,Internal,Completed,1,742.55,Yes
2023-01-26,1107,5,Internal,Failed,2,231.28,Yes
2023-05-23,1108,2,Internal,Completed,5,124.54,Yes
2023-01-21,1109,3,External,Completed,5,898.37,No
2022-10-13,1110,2,Internal,Passed,2,764.36,Yes
2022-12-05,1111,4,Internal,Failed,5,786.57,No
2022-09-30,1112,1,Internal,Failed,3,668.05,Yes
2023-01-20,1113,5,External,Incomplete,2,956.92,Yes
2023-02-25,1114,1,Internal,Incomplete,1,912.27,Yes
2023-05-19,1115,2,Internal,Incomplete,4,881.71,Yes
2023-05-16,1116,1,Internal,Incomplete,4,557.68,Yes
2023-01-12,1117,1,Internal,Completed,4,271.68,No
2022-12-16,1118,1,External,Completed,2,299.68,No
2023-07-08,1119,1,Internal,Incomplete,5,440.28,No
2023-03-10,1120,3,Internal,Incomplete,4,553.83,Yes
2022-09-19,1121,3,Internal,Failed,1,428.9,Yes
2023-01-21,1122,1,Internal,Passed,3,444.4,No
2023-01-31,1123,4,Internal,Completed,4,254.38,Yes
2022-11-03,1124,1,Internal,Failed,1,256.21,Yes
2022-12-14,1125,1,Internal,Incomplete,2,756.19,Yes
2023-07-29,1126,5,Internal,Failed,4,500.45,No
2022-09-04,1127,1,External,Incomplete,2,500.83,Yes
2023-05-17,1128,1,Internal,Incomplete,1,773.8,Yes
2022-09-11,1129,5,Internal,Passed,2,768.06,No
2022-11-09,1130,3,External,Completed,3,777.7,Yes
2023-03-31,1131,2,Internal,Incomplete,2,943.05,Yes
2022-09-27,1132,1,Internal,Passed,4,475.91,Yes
2022-08-19,1133,2,External,Passed,3,107.14,Yes
2022-12-09,1134,1,External,Passed,1,271.49,No
2023-03-22,1135,4,Internal,Passed,2,524.23,Yes
2022-12-25,1136,2,External,Completed,3,535.88,No
2022-09-09,1137,1,Internal,Passed,5,270.92,Yes
2022-09-10,1138,2,Internal,Failed,4,155.14,No
2022-10-01,1139,2,External,Completed,1,930.06,No
2022-09-27,1140,2,Internal,Passed,1,949.81,Yes
2023-05-17,1141,5,Internal,Incomplete,1,635.31,Yes
2023-07-17,1142,3,External,Completed,3,675.04,No
2022-12-20,1143,2,Internal,Failed,3,563.38,No
2023-01-10,1144,1,External,Completed,4,750.25,Yes
2022-11-15,1145,5,Internal,Incomplete,2,401.53,Yes
2023-06-28,1146,5,External,Failed,3,894.88,No
2023-01-25,1147,3,Internal,Failed,2,247.58,No
2022-09-01,1148,1,External,Passed,3,529.0,Yes
2023-07-31,1149,3,External,Failed,5,483.99,Yes
2023-06-03,1150,4,External,Incomplete,5,797.35,Yes
2022-12-19,1151,4,External,Passed,4,707.59,Yes
2023-03-29,1152,2,External,Incomplete,2,564.48,Yes
2022-12-02,1153,1,Internal,Failed,4,555.35,No
2022-08-12,1154,2,Internal,Incomplete,3,338.48,Yes
2022-09-10,1155,5,Internal,Failed,1,339.01,No
2022-09-04,1156,2,Internal,Incomplete,5,939.49,Yes
2022-10-11,1157,5,External,Passed,1,276.47,Yes
2022-09-14,1158,2,External,Completed,3,154.71,No
2022-12-27,1159,3,External,Failed,3,674.24,No
2022-11-07,1160,3,External,Failed,2,137.96,No
2022-11-13,1161,5,Internal,Passed,5,926.85,Yes
2022-09-02,1162,1,External,Incomplete,1,846.55,Yes
2023-02-23,1163,1,External,Passed,3,734.77,Yes
2023-03-01,1164,5,Internal,Incomplete,3,315.09,Yes
2022-09-27,1165,1,Internal,Passed,3,686.05,Yes
2022-08-10,1166,1,External,Passed,4,942.51,Yes
2023-02-23,1167,4,Internal,Failed,4,782.82,Yes
2022-09-02,1168,4,Internal,Failed,1,370.64,No
2023-06-30,1169,5,Internal,Incomplete,1,487.66,Yes
2023-08-04,1170,1,External,Incomplete,1,179.85,Yes
2022-09-07,1171,4,Internal,Completed,1,294.74,Yes
2023-03-30,1172,1,External,Passed,5,202.09,No
2023-02-09,1173,2,Internal,Passed,4,901.42,No
2023-05-12,1174,4,External,Incomplete,3,454.23,No
2023-01-04,1175,4,Internal,Passed,3,460.39,No
2023-02-14,1176,3,Internal,Completed,2,644.72,Yes
2022-09-17,1177,2,External,Passed,3,436.86,Yes
2022-12-21,1178,4,External,Failed,1,361.52,No
2023-02-11,1179,5,Internal,Passed,2,229.05,Yes
2022-11-17,1180,5,Internal,Completed,3,787.85,Yes
2022-12-31,1181,1,External,Incomplete,1,483.82,Yes
2022-10-19,1182,1,External,Passed,5,623.64,Yes
2023-07-16,1183,5,Internal,Incomplete,4,351.35,Yes
2023-01-31,1184,2,Internal,Completed,3,512.51,Yes
2022-09-22,1185,4,Internal,Failed,5,957.9,Yes
2023-06-12,1186,1,External,Failed,5,886.45,Yes
2022-10-25,1187,1,Internal,Incomplete,4,443.55,Yes
2023-01-07,1188,5,Internal,Passed,4,899.13,No
2022-09-20,1189,1,External,Completed,1,202.74,No
2023-05-21,1190,4,External,Failed,4,727.81,No
2022-09-23,1191,2,Internal,Completed,2,820.39,Yes
2022-10-11,1192,3,External,Passed,4,111.94,Yes
2023-05-05,1193,5,External,Failed,1,231.96,No
2023-05-07,1194,1,Internal,Completed,2,430.92,No
2023-07-06,1195,5,Internal,Failed,3,638.7,No
2023-02-28,1196,1,Internal,Completed,5,355.3,Yes
2023-02-25,1197,5,Internal,Passed,5,575.1,Yes
2023-06-19,1198,4,Internal,Failed,1,140.82,Yes
2022-11-28,1199,3,External,Passed,2,663.19,Yes
2023-07-29,1200,4,Internal,Incomplete,2,996.77,Yes
2022-10-10,1201,1,External,Passed,2,145.39,No
2022-12-08,1202,5,Internal,Incomplete,1,344.74,No
2022-10-12,1203,4,External,Incomplete,5,308.09,Yes
2023-07-16,1204,4,External,Incomplete,1,610.96,Yes
2023-08-01,1205,1,External,Failed,3,201.83,Yes
2023-07-20,1206,5,Internal,Passed,5,391.85,No
2022-12-07,1207,1,Internal,Completed,5,682.36,Yes
2022-09-20,1208,3,Internal,Passed,3,492.39,No
2023-06-18,1209,1,External,Failed,2,197.78,Yes
2023-01-09,1210,3,External,Incomplete,4,485.44,Yes
2023-07-30,1211,3,External,Passed,3,557.34,No
2023-05-03,1212,4,Internal,Failed,5,817.92,No
2023-02-15,1213,4,External,Failed,4,485.39,Yes
2023-04-02,1214,2,Internal,Completed,3,145.13,Yes
2022-09-13,1215,1,External,Passed,4,751.88,Yes
2023-07-16,1216,3,External,Incomplete,1,136.48,No
2023-04-17,1217,2,External,Completed,1,857.42,No
2023-01-30,1218,3,Internal,Failed,3,733.16,Yes
2022-09-15,1219,1,External,Failed,5,761.31,No
2023-06-29,1220,3,External,Passed,1,920.41,No
2022-08-25,1221,2,Internal,Passed,4,167.69,No
2023-03-10,1222,3,External,Passed,2,931.45,No
2022-08-30,1223,4,External,Completed,1,474.36,Yes
2023-03-18,1224,4,Internal,Incomplete,5,598.72,No
2022-08-14,1225,2,Internal,Completed,5,557.02,No
2023-05-20,1226,2,Internal,Completed,3,939.92,No
2023-05-15,1227,1,External,Failed,3,669.19,No
2022-10-05,1228,5,Internal,Failed,5,525.69,Yes
2023-01-11,1229,2,External,Failed,1,173.66,Yes
2023-04-30,1230,1,External,Completed,1,635.71,Yes
2022-08-06,1231,4,External,Passed,1,896.8,Yes
2022-11-30,1232,3,Internal,Incomplete,4,857.61,Yes
2022-11-29,1233,2,Internal,Failed,3,460.59,Yes
2023-02-19,1234,3,Internal,Passed,1,504.82,No
2023-04-10,1235,4,Internal,Failed,3,737.91,Yes
2023-04-17,1236,2,External,Passed,2,244.25,No
2022-11-11,1237,3,External,Passed,2,762.82,No
2022-11-14,1238,3,Internal,Incomplete,2,640.14,No
2023-04-28,1239,4,Internal,Incomplete,3,726.03,Yes
2023-01-04,1240,1,External,Passed,5,758.75,Yes
2023-02-01,1241,4,External,Failed,5,878.94,No
2023-03-14,1242,4,External,Passed,3,227.9,No
2023-02-05,1243,1,Internal,Incomplete,3,855.27,Yes
2023-02-18,1244,5,External,Incomplete,5,170.62,Yes
2023-06-29,1245,1,Internal,Incomplete,4,392.14,Yes
2022-12-25,1246,1,Internal,Completed,1,206.93,No
2022-12-09,1247,2,External,Completed,5,307.13,Yes
2022-08-24,1248,1,Internal,Passed,4,165.05,No
2022-08-15,1249,1,Internal,Completed,4,371.27,No
2023-04-28,1250,1,External,Incomplete,3,366.78,Yes
2023-02-04,1251,1,External,Failed,5,205.92,Yes
2022-11-20,1252,3,Internal,Completed,1,314.51,No
2023-06-03,1253,2,Internal,Completed,2,793.86,No
2023-04-20,1254,4,Internal,Passed,3,252.53,Yes
2022-10-23,1255,2,External,Passed,2,693.25,No
2023-05-26,1256,4,Internal,Completed,4,926.76,Yes
2023-05-23,1257,5,Internal,Failed,1,694.61,Yes
2023-06-30,1258,4,Internal,Incomplete,1,732.02,Yes
2023-01-04,1259,3,Internal,Completed,1,897.62,Yes
2022-11-21,1260,3,Internal,Completed,2,786.57,Yes
2023-07-26,1261,4,External,Incomplete,3,613.93,Yes
2023-01-17,1262,1,Internal,Passed,2,711.8,Yes
2023-03-03,1263,1,Internal,Failed,5,784.1,Yes
2023-05-16,1264,2,Internal,Failed,5,509.67,Yes
2023-06-15,1265,3,Internal,Incomplete,4,494.96,No
2023-03-30,1266,4,Internal,Incomplete,5,465.72,No
2023-02-27,1267,5,Internal,Failed,1,507.43,No
2023-05-25,1268,4,External,Passed,5,401.97,Yes
2022-12-23,1269,2,External,Passed,4,813.9,Yes
2022-08-21,1270,3,External,Completed,2,360.02,No
2023-02-15,1271,2,Internal,Completed,3,692.71,Yes
2023-02-24,1272,5,Internal,Failed,3,233.12,No
2023-05-24,1273,5,External,Incomplete,1,881.48,No
2023-05-22,1274,4,Internal,Passed,2,448.48,Yes
2023-06-13,1275,1,External,Incomplete,3,288.88,Yes
2023-07-15,1276,1,Internal,Failed,1,572.45,Yes
2023-03-27,1277,1,Internal,Passed,3,141.38,Yes
2023-02-04,1278,5,Internal,Incomplete,1,331.46,Yes
2022-11-23,1279,5,Internal,Incomplete,4,704.93,Yes
2023-06-08,1280,3,External,Completed,4,450.65,Yes
2023-01-31,1281,4,External,Completed,3,775.97,No
2023-02-20,1282,3,External,Passed,4,376.0,No
2023-01-17,1283,2,External,Failed,2,106.54,Yes
2022-11-10,1284,1,External,Completed,1,852.87,Yes
2022-11-08,1285,4,External,Completed,4,469.03,Yes
2023-05-28,1286,2,Internal,Incomplete,2,274.85,No
2023-03-31,1287,5,External,Completed,1,342.57,No
2023-05-13,1288,5,External,Incomplete,5,948.31,No
2022-10-08,1289,3,Internal,Incomplete,3,900.52,Yes
2023-05-14,1290,3,External,Completed,4,140.72,Yes
2022-09-12,1291,5,Internal,Passed,3,913.62,No
2023-02-22,1292,2,Internal,Completed,5,950.3,Yes
2023-03-12,1293,4,Internal,Passed,2,668.77,Yes
2022-08-15,1294,5,Internal,Passed,3,906.05,No
2023-01-03,1295,1,Internal,Incomplete,5,689.77,Yes
2023-03-05,1296,1,External,Passed,2,694.27,No
2023-06-14,1297,4,External,Passed,3,352.75,No
2023-05-16,1298,4,Internal,Passed,3,411.17,Yes
2023-01-21,1299,4,External,Completed,3,358.81,Yes
2023-04-29,1300,5,Internal,Passed,4,588.64,Yes
2022-09-22,1301,1,Internal,Incomplete,1,472.18,No
2022-08-20,1302,4,Internal,Passed,2,758.79,Yes
2023-06-02,1303,3,Internal,Failed,3,921.81,Yes
2023-01-16,1304,1,External,Completed,3,405.08,No
2023-07-08,1305,5,Internal,Failed,3,784.22,No
2023-07-13,1306,5,External,Failed,4,443.99,Yes
2022-11-16,1307,5,Internal,Incomplete,3,609.9,No
2022-10-10,1308,3,External,Failed,5,742.16,Yes
2022-09-09,1309,5,External,Failed,3,517.74,Yes
2022-10-16,1310,4,Internal,Incomplete,4,350.59,No
2022-10-17,1311,3,Internal,Incomplete,1,546.94,No
2023-04-29,1312,1,Internal,Completed,4,514.37,Yes
2022-10-25,1313,3,Internal,Incomplete,5,786.98,No
2023-03-18,1314,4,Internal,Passed,4,852.21,Yes
2023-07-29,1315,1,External,Failed,4,761.63,Yes
2023-04-20,1316,5,External,Passed,5,202.62,No
2022-08-20,1317,1,External,Passed,5,414.75,Yes
2022-10-17,1318,1,External,Completed,4,344.55,No
2023-05-19,1319,4,Internal,Failed,1,777.46,No
2022-08-25,1320,3,External,Completed,3,948.71,Yes
2023-01-19,1321,2,Internal,Passed,5,308.77,No
2023-02-24,1322,2,External,Incomplete,1,891.25,Yes
2023-03-30,1323,2,Internal,Passed,2,659.9,Yes
2022-09-30,1324,4,Internal,Failed,2,858.72,Yes
2023-03-28,1325,4,External,Failed,5,380.24,Yes
2023-05-01,1326,3,External,Passed,5,505.4,No
2023-07-02,1327,3,Internal,Passed,3,609.01,Yes
2023-03-24,1328,2,Internal,Failed,3,656.38,No
2023-06-11,1329,4,External,Passed,5,692.63,No
2022-11-20,1330,4,Internal,Incomplete,3,633.72,Yes
2022-09-14,1331,1,Internal,Failed,2,517.62,Yes
2022-08-13,1332,3,External,Incomplete,4,231.76,No
2023-03-01,1333,2,Internal,Passed,2,605.12,Yes
2023-04-01,1334,4,Internal,Failed,1,297.12,No
2023-02-20,1335,3,Internal,Incomplete,2,384.43,Yes
2022-12-19,1336,3,Internal,Passed,4,969.95,Yes
2023-01-17,1337,4,External,Failed,5,719.7,No
2022-10-30,1338,3,External,Incomplete,1,355.83,Yes
2022-11-24,1339,2,Internal,Incomplete,3,754.47,No
2023-02-06,1340,3,External,Incomplete,2,890.39,No
2023-02-14,1341,4,Internal,Passed,3,268.78,Yes
2023-01-28,1342,4,Internal,Failed,4,930.72,No
2022-09-02,1343,2,External,Completed,5,924.85,Yes
2022-11-01,1344,5,Internal,Incomplete,5,284.38,Yes
2022-11-30,1345,1,External,Passed,1,395.1,No
2023-07-02,1346,5,External,Failed,2,501.64,No
2022-10-22,1347,1,Internal,Failed,5,792.72,Yes
2023-08-01,1348,5,Internal,Completed,4,594.15,No
2022-11-26,1349,5,Internal,Incomplete,3,870.01,Yes
2023-01-29,1350,3,Internal,Incomplete,2,610.06,Yes
2022-12-20,1351,4,Internal,Passed,2,278.16,Yes
2022-11-01,1352,1,External,Completed,4,218.93,Yes
2022-12-16,1353,1,Internal,Incomplete,5,179.21,No
2023-08-03,1354,1,External,Failed,2,983.37,No
2023-03-13,1355,4,Internal,Completed,5,534.28,No
2023-04-06,1356,5,Internal,Incomplete,3,301.39,Yes
2023-05-26,1357,4,External,Incomplete,3,231.65,No
2022-08-10,1358,1,Internal,Completed,2,994.81,Yes
2023-02-14,1359,2,External,Incomplete,4,729.91,Yes
2022-09-20,1360,3,Internal,Passed,2,538.02,Yes
2022-10-09,1361,4,Internal,Failed,4,903.88,No
2022-08-29,1362,2,Internal,Passed,4,196.94,No
2022-12-15,1363,4,Internal,Completed,2,285.83,No
2022-12-28,1364,4,External,Incomplete,4,818.6,No
2023-04-10,1365,3,External,Incomplete,1,610.97,Yes
2022-11-18,1366,5,Internal,Completed,1,762.83,Yes
2022-09-20,1367,4,External,Incomplete,5,438.44,Yes
2022-10-19,1368,4,Internal,Incomplete,4,271.9,Yes
2023-01-31,1369,1,External,Incomplete,2,629.2,Yes
2022-09-06,1370,3,Internal,Incomplete,1,850.28,Yes
2022-10-01,1371,3,External,Passed,1,321.25,No
2023-06-03,1372,2,Internal,Passed,1,475.32,Yes
2022-09-08,1373,3,External,Failed,4,847.2,Yes
2022-10-08,1374,2,Internal,Completed,1,983.35,Yes
2023-06-25,1375,5,External,Passed,3,880.9,Yes
2023-08-02,1376,2,External,Completed,3,795.72,No
2023-06-20,1377,1,Internal,Completed,2,909.56,No
2023-01-28,1378,1,External,Failed,5,145.7,Yes
2023-03-06,1379,1,Internal,Passed,1,397.48,Yes
2023-05-26,1380,1,External,Failed,3,326.7,Yes
2022-09-20,1381,3,Internal,Failed,4,718.16,No
2023-02-21,1382,1,Internal,Passed,5,162.46,Yes
2023-01-15,1383,2,Internal,Completed,3,924.64,No
2022-10-04,1384,3,Internal,Passed,4,628.48,No
2023-06-27,1385,1,Internal,Passed,1,678.07,Yes
2023-06-29,1386,5,External,Passed,1,106.91,No
2022-12-20,1387,1,External,Incomplete,1,195.95,Yes
2023-04-18,1388,1,External,Completed,1,918.34,No
2023-01-16,1389,1,External,Incomplete,3,425.34,Yes
2023-03-03,1390,1,External,Completed,3,512.53,Yes
2023-02-05,1391,3,External,Completed,3,146.48,Yes
2023-04-20,1392,3,External,Completed,3,578.62,No
2023-04-02,1393,5,External,Failed,3,255.61,No
2023-02-13,1394,3,Internal,Passed,5,370.26,Yes
2022-12-28,1395,1,Internal,Failed,2,302.97,No
2022-09-13,1396,1,Internal,Completed,3,632.28,No
2023-03-01,1397,2,Internal,Incomplete,2,669.41,No
2023-01-04,1398,1,External,Passed,3,191.99,Yes
2023-05-02,1399,2,Internal,Incomplete,2,695.11,No
2022-08-06,1400,1,Internal,Failed,2,634.92,Yes
2023-07-03,1401,1,Internal,Incomplete,5,873.98,Yes
2022-10-14,1402,1,External,Passed,3,602.33,Yes
2023-06-08,1403,5,Internal,Failed,3,807.02,Yes
2022-10-02,1404,4,Internal,Completed,4,411.94,No
2022-09-15,1405,2,External,Completed,4,537.73,No
2023-05-03,1406,5,Internal,Incomplete,5,930.1,Yes
2022-11-23,1407,1,External,Completed,3,249.66,No
2022-12-24,1408,1,Internal,Passed,5,691.82,Yes
2022-08-23,1409,2,Internal,Passed,4,938.59,No
2022-11-25,1410,4,External,Completed,1,746.8,Yes
2022-12-14,1411,5,External,Incomplete,1,690.75,Yes
2022-08-24,1412,4,External,Incomplete,4,544.19,Yes
2023-02-17,1413,5,Internal,Completed,5,918.34,No
2023-01-21,1414,2,Internal,Failed,3,997.2,Yes
2022-12-28,1415,2,Internal,Incomplete,3,633.96,Yes
2022-10-27,1416,2,External,Passed,2,638.69,Yes
2023-01-05,1417,4,Internal,Passed,1,643.82,Yes
2023-06-24,1418,4,External,Failed,1,840.76,Yes
2023-04-13,1419,3,Internal,Passed,1,108.04,No
2023-02-16,1420,1,Internal,Completed,5,889.57,Yes
2022-12-08,1421,2,Internal,Completed,5,835.97,Yes
2023-04-13,1422,5,Internal,Failed,3,585.66,No
2023-03-15,1423,1,Internal,Passed,3,255.55,Yes
2023-03-05,1424,5,External,Incomplete,4,695.24,No
2023-03-13,1425,5,Internal,Failed,1,850.15,Yes
2022-12-02,1426,4,External,Completed,3,938.04,No
2023-04-25,1427,4,External,Passed,1,684.24,Yes
2022-08-30,1428,5,Internal,Failed,5,956.11,No
2022-11-26,1429,1,External,Failed,4,441.43,No
2022-08-26,1430,3,External,Passed,4,193.99,No
2022-10-15,1431,5,External,Failed,3,790.72,Yes
2022-08-06,1432,1,Internal,Completed,4,894.75,Yes
2022-09-18,1433,2,Internal,Passed,4,863.73,No
2023-04-27,1434,4,External,Incomplete,2,746.99,No
2022-09-21,1435,3,Internal,Passed,4,360.38,Yes
2022-08-26,1436,5,Internal,Incomplete,1,298.3,No
2022-12-28,1437,3,External,Passed,3,537.12,Yes
2023-05-12,1438,2,External,Passed,2,996.18,No
2023-06-20,1439,1,Internal,Completed,4,764.43,No
2022-11-13,1440,1,External,Failed,5,490.33,No
2022-10-23,1441,2,Internal,Incomplete,4,758.41,No
2023-02-21,1442,5,External,Incomplete,3,367.56,Yes
2023-05-03,1443,3,Internal,Failed,5,582.49,Yes
2023-01-30,1444,3,External,Incomplete,2,561.14,Yes
2023-07-20,1445,1,Internal,Passed,5,458.8,No
2023-02-06,1446,1,Internal,Passed,3,207.17,Yes
2023-05-26,1447,5,External,Completed,4,784.89,Yes
2022-08-06,1448,3,Internal,Failed,5,151.43,Yes
2022-10-09,1449,2,Internal,Passed,5,675.71,No
2023-06-23,1450,4,Internal,Incomplete,5,436.63,No
2022-10-25,1451,1,External,Completed,2,387.11,No
2022-09-04,1452,5,Internal,Passed,4,320.38,Yes
2023-04-05,1453,5,Internal,Passed,2,294.55,Yes
2022-12-14,1454,2,External,Completed,1,832.86,No
2023-05-15,1455,3,Internal,Passed,5,223.34,Yes
2022-09-30,1456,2,External,Incomplete,3,456.95,No
2023-05-11,1457,4,External,Passed,5,988.47,Yes
2023-05-22,1458,5,External,Incomplete,1,429.49,Yes
2022-10-18,1459,4,Internal,Failed,3,798.97,Yes
2023-03-06,1460,2,Internal,Incomplete,2,864.22,No
2023-06-01,1461,1,Internal,Passed,1,302.52,No
2023-02-02,1462,3,External,Completed,4,152.66,No
2023-04-14,1463,2,Internal,Completed,2,399.05,Yes
2023-06-25,1464,2,Internal,Completed,2,791.74,Yes
2022-12-06,1465,3,External,Incomplete,4,770.23,No
2022-12-16,1466,4,External,Completed,3,746.05,Yes
2023-01-13,1467,5,External,Completed,2,177.66,No
2023-04-10,1468,3,Internal,Passed,5,429.38,Yes
2022-08-25,1469,3,External,Incomplete,3,867.59,Yes
2023-04-17,1470,1,External,Failed,5,502.65,Yes
2023-03-06,1471,5,Internal,Completed,3,488.68,No
2023-04-11,1472,4,Internal,Passed,3,416.76,Yes
2023-02-11,1473,3,External,Passed,4,336.08,Yes
2023-02-19,1474,4,External,Failed,1,798.37,No
2022-11-04,1475,5,Internal,Passed,3,499.48,No
2023-03-08,1476,5,External,Completed,2,615.32,No
2023-03-12,1477,5,External,Failed,5,410.36,No
2023-08-03,1478,3,External,Failed,5,453.86,No
2023-01-23,1479,4,Internal,Failed,1,975.27,Yes
2023-04-18,1480,3,External,Failed,2,946.81,Yes
2023-05-16,1481,1,Internal,Completed,5,142.57,Yes
2022-10-13,1482,2,Internal,Completed,5,186.57,Yes
2022-08-22,1483,1,External,Incomplete,4,168.71,Yes
2023-07-29,1484,1,External,Incomplete,1,473.77,Yes
